#logger=serial_logger_v1.3
#saved_at=2026-02-04T09:24:39.755392
#fs_hz=25
#fs_hz_inferred=1
#segment_id=5
#segment_start_ms=2115365
#device_mode_code=8
#device_mode_tag=walk
#storage_mode_tag=walk
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2115365,-9.8000,0.1900,-0.4700,-9.6074,0.3875,-0.1228,9.6160,-0.7500,1.9375,-0.5625,1012.32,13.93,7.78
2115384,-9.8300,0.1700,-0.5600,-9.6374,0.3675,-0.2128,9.6468,-0.6875,3.3750,-0.3750,1012.34,14.00,7.54
2115409,-9.8000,0.1600,-0.5900,-9.6074,0.3575,-0.2428,9.6171,-1.8125,3.8125,-0.1250,1012.37,14.06,7.37
2115433,-9.3400,0.5200,-1.1300,-9.1474,0.7175,-0.7828,9.2088,-1.9375,4.8125,-0.1250,1012.37,14.11,7.29
2115458,-9.8900,-0.6900,-0.9700,-9.6974,-0.4925,-0.6228,9.7299,-2.2500,5.9375,1.0000,1012.38,14.16,7.24
2115482,-9.7700,0.5400,-0.9900,-9.5774,0.7375,-0.6428,9.6272,-1.9375,8.9375,4.8750,1012.39,14.21,7.15
2115506,-9.8300,0.1600,-0.8000,-9.6374,0.3575,-0.4528,9.6547,-1.2500,4.7500,-0.3125,1012.39,14.25,7.15
2115531,-9.7900,0.2200,-0.5800,-9.5974,0.4175,-0.2328,9.6093,-1.5000,5.5000,0.3125,1012.38,14.29,7.23
2115556,-9.7200,0.0000,-0.5100,-9.5274,0.1975,-0.1628,9.5308,-1.8750,8.6875,-0.0625,1012.39,14.32,7.18
2115585,-9.8500,0.3300,-0.8800,-9.6574,0.5275,-0.5328,9.6865,-1.4375,14.0000,2.6250,1012.39,14.34,7.20
2115625,-9.7700,0.2300,-0.3000,-9.5774,0.4275,0.0472,9.5871,-1.3750,13.3125,-1.1250,1012.38,14.37,7.25
2115666,-9.9200,0.2200,-1.1300,-9.7274,0.4175,-0.7828,9.7678,0.6875,23.1250,-1.6875,1012.37,14.38,7.33
2115706,-10.0000,0.4100,-1.8000,-9.8074,0.6075,-1.4528,9.9330,0.1875,17.0000,-1.3750,1012.37,14.39,7.30
2115746,-9.8700,-0.0300,-1.1800,-9.6774,0.1675,-0.8328,9.7146,1.8750,16.0000,-1.9375,1012.37,14.39,7.37
2115786,-9.8900,-0.2400,-1.2100,-9.6974,-0.0425,-0.8628,9.7358,5.7500,23.3125,0.5000,1012.37,14.39,7.34
2115826,-9.7900,0.3000,-1.2800,-9.5974,0.4975,-0.9328,9.6554,-0.8125,2.1875,-0.3750,1012.37,14.39,7.31
2115866,-9.7600,0.3200,-2.0400,-9.5674,0.5175,-1.6928,9.7298,2.3750,8.3125,1.3125,1012.37,14.39,7.32
2115906,-9.6900,0.2500,-1.7700,-9.4974,0.4475,-1.4228,9.6138,0.6875,-1.2500,0.3750,1012.37,14.39,7.32
2115946,-9.6700,0.2100,-1.4800,-9.4774,0.4075,-1.1328,9.5536,0.0000,-4.2500,0.1250,1012.37,14.38,7.36
2115986,-9.6200,0.2400,-1.3900,-9.4274,0.4375,-1.0428,9.4950,-0.9375,-4.3750,0.2500,1012.36,14.38,7.37
2116026,-9.7900,0.3700,-1.1500,-9.5974,0.5675,-0.8028,9.6476,-0.5625,0.4375,-0.5000,1012.37,14.38,7.35
2116066,-9.8100,0.1600,-1.5500,-9.6174,0.3575,-1.2028,9.6989,2.4375,1.0625,-0.7500,1012.37,14.38,7.36
2116106,-9.4800,0.2900,-1.4400,-9.2874,0.4875,-1.0928,9.3642,-2.6875,-0.8125,-1.0000,1012.37,14.38,7.29
2116146,-9.6500,0.3500,-1.5100,-9.4574,0.5475,-1.1628,9.5443,0.1875,1.1250,-4.3750,1012.37,14.38,7.31
2116186,-9.8000,-0.1600,-1.4900,-9.6074,0.0375,-1.1428,9.6752,3.1250,3.6875,-7.9375,1012.37,14.38,7.30
2116226,-9.7400,-0.1100,-2.0100,-9.5474,0.0875,-1.6628,9.6915,3.3750,0.8750,-0.1250,1012.38,14.38,7.27
2116266,-9.6600,0.1700,-1.3700,-9.4674,0.3675,-1.0228,9.5296,-1.4375,-2.1250,2.0625,1012.37,14.38,7.31
2116306,-9.7000,0.1900,-1.2600,-9.5074,0.3875,-0.9128,9.5590,-0.6875,0.5000,0.4375,1012.37,14.38,7.29
2116346,-9.6700,0.1600,-1.3600,-9.4774,0.3575,-1.0128,9.5381,-0.6875,3.1250,0.5625,1012.38,14.38,7.26
2116386,-9.6100,0.1800,-1.4800,-9.4174,0.3775,-1.1328,9.4928,0.0000,5.0625,0.3750,1012.38,14.39,7.27
2116426,-9.7000,0.2300,-1.5800,-9.5074,0.4275,-1.2328,9.5965,0.6875,5.2500,0.3750,1012.38,14.39,7.26
2116466,-9.7200,0.0200,-1.6500,-9.5274,0.2175,-1.3028,9.6185,0.8750,4.6250,0.6875,1012.39,14.39,7.20
2116506,-9.6100,0.2400,-1.8300,-9.4174,0.4375,-1.4828,9.5435,3.0625,2.3125,1.7500,1012.39,14.39,7.19
2116546,-9.5100,0.2500,-1.9800,-9.3174,0.4475,-1.6328,9.4700,2.3125,-0.4375,0.3125,1012.39,14.39,7.20
2116585,-9.6800,0.1700,-1.9200,-9.4874,0.3675,-1.5728,9.6239,6.6875,-4.0625,-0.8750,1012.38,14.39,7.22
2116625,-9.8200,0.4800,-1.7100,-9.6274,0.6775,-1.3628,9.7470,3.5625,-7.5000,-2.3750,1012.38,14.39,7.22
2116666,-9.7500,0.1500,-1.5600,-9.5574,0.3475,-1.2128,9.6403,-0.2500,-8.6250,-4.5625,1012.38,14.39,7.28
2116706,-9.8900,-0.0100,-1.2700,-9.6974,0.1875,-0.9228,9.7430,-0.6250,-7.9375,-3.3750,1012.38,14.39,7.24
2116746,-9.5600,-0.0500,-1.3100,-9.3674,0.1475,-0.9628,9.4179,1.8125,-7.7500,-4.0000,1012.38,14.39,7.24
2116786,-9.3500,0.1200,-0.6300,-9.1574,0.3175,-0.2828,9.1673,-1.8125,-1.8125,-2.7500,1012.38,14.39,7.27
2116826,-9.9400,-0.1100,-0.5900,-9.7474,0.0875,-0.2428,9.7508,-7.0625,11.3125,0.5625,1012.38,14.39,7.23
2116866,-9.4800,0.5100,-2.2100,-9.2874,0.7075,-1.8628,9.4988,6.6250,22.7500,-1.8750,1012.38,14.39,7.28
2116906,-9.8300,0.1600,-1.8700,-9.6374,0.3575,-1.5228,9.7635,4.6250,12.1250,-5.5625,1012.38,14.39,7.26
2116946,-9.6100,-0.6300,-1.9100,-9.4174,-0.4325,-1.5628,9.5560,-2.6875,10.0000,-6.7500,1012.38,14.39,7.22
2116986,-9.7300,-0.8900,-2.5500,-9.5374,-0.6925,-2.2028,9.8129,-5.2500,4.8125,-0.1250,1012.38,14.39,7.23
2117026,-9.8300,-1.6700,-2.4100,-9.6374,-1.4725,-2.0628,9.9651,-9.6875,-2.7500,12.6250,1012.39,14.39,7.16
2117066,-10.9100,-0.7000,-2.1500,-10.7174,-0.5025,-1.8028,10.8796,-37.8125,-5.7500,46.6250,1012.39,14.39,7.18
2117106,-9.5200,1.2400,-2.8300,-9.3274,1.4375,-2.4828,9.7586,-42.0625,-0.0625,52.6250,1012.39,14.40,7.13
2117146,-8.8800,2.3000,-3.0800,-8.6874,2.4975,-2.7328,9.4433,-33.5625,-17.1875,41.6875,1012.43,14.40,6.86
2117186,-8.1400,3.5900,-0.8500,-7.9474,3.7875,-0.5028,8.8181,-19.6250,-40.2500,14.5000,1012.50,14.40,6.23
2117226,-9.5700,2.1500,0.3300,-9.3774,2.3475,0.6772,9.6905,-6.2500,-36.3125,-14.8125,1012.48,14.40,6.38
2117266,-9.6400,0.7400,0.6100,-9.4474,0.9375,0.9572,9.5419,-8.5625,-22.4375,-17.7500,1012.45,14.40,6.63
2117306,-9.8600,0.3300,-0.1900,-9.6674,0.5275,0.1572,9.6831,3.2500,-14.0000,-11.6250,1012.42,14.40,6.87
2117346,-9.1400,1.9000,-0.9900,-8.9474,2.0975,-0.6428,9.2124,7.6875,-21.0625,-12.0625,1012.43,14.40,6.82
2117386,-9.6600,1.6800,-0.1200,-9.4674,1.8775,0.2272,9.6544,3.1875,-19.2500,-25.9375,1012.43,14.40,6.80
2117426,-10.1500,0.6900,-0.1000,-9.9574,0.8875,0.2472,9.9999,-2.4375,-8.5000,-36.2500,1012.44,14.40,6.77
