2423099,-7.6400,-1.2100,5.6100,-7.4474,-1.0125,5.9572,9.5905,-1.1250,11.8125,0.6875,1009.90,21.16,27.95
2423119,-7.7700,-1.3100,5.4800,-7.5774,-1.1125,5.8272,9.6235,-1.0000,20.4375,1.3750,1009.68,21.44,29.76
2423144,-8.5100,-1.2600,4.7800,-8.3174,-1.0625,5.1272,9.8283,-0.6875,22.6875,1.4375,1009.52,21.66,31.08
2423170,-8.6100,-1.5700,4.7800,-8.4174,-1.3725,5.1272,9.9511,0.5000,22.6875,1.5625,1009.39,21.84,32.15
2423195,-8.5100,-1.1700,4.3600,-8.3174,-0.9725,4.7072,9.6064,2.6875,14.9375,2.2500,1009.29,21.98,32.99
2423222,-8.0400,-1.1900,4.9700,-7.8474,-0.9925,5.3172,9.5310,-0.7500,-5.8125,0.1250,1009.23,22.10,33.57
2423247,-7.9000,-1.3700,5.4900,-7.7074,-1.1725,5.8372,9.7392,-0.8750,-4.7500,-0.0625,1009.16,22.19,34.09
2423273,-8.3400,-1.3200,4.5700,-8.1474,-1.1225,4.9172,9.5822,1.5625,8.8750,1.4375,1009.12,22.27,34.44
2423311,-8.0300,-1.3000,5.1300,-7.8374,-1.1025,5.4772,9.6250,-0.3125,-2.3750,0.0625,1009.09,22.33,34.72
2423351,-8.3300,-1.2300,4.6600,-8.1374,-1.0325,5.0072,9.6102,0.4375,3.1250,-0.4375,1009.06,22.37,34.92
2423391,-8.3300,-1.2900,4.9700,-8.1374,-1.0925,5.3172,9.7818,-0.6250,-1.7500,-0.5625,1009.05,22.41,35.07
2423431,-7.9700,-1.3100,5.1600,-7.7774,-1.1125,5.5072,9.5945,0.3750,-0.6875,0.1875,1009.03,22.43,35.16
2423471,-8.2100,-1.2500,4.8800,-8.0174,-1.0525,5.2272,9.6286,-0.3750,0.3750,-0.0625,1009.03,22.44,35.21
2423511,-8.2500,-1.3900,4.8400,-8.0574,-1.1925,5.1872,9.6566,0.4375,0.5000,0.4375,1009.01,22.45,35.36
2423551,-8.2300,-1.2200,4.9100,-8.0374,-1.0225,5.2572,9.6583,-0.1250,-0.8750,-0.1875,1009.01,22.46,35.40
2423591,-8.1300,-1.3100,5.0300,-7.9374,-1.1125,5.3772,9.6516,-0.0625,0.2500,0.0000,1008.99,22.46,35.49
2423631,-8.2300,-1.2600,4.9600,-8.0374,-1.0625,5.3072,9.6899,-0.1250,0.2500,0.1875,1008.99,22.47,35.51
2423671,-8.2500,-1.2500,4.8700,-8.0574,-1.0525,5.2172,9.6565,0.0625,-0.1875,-0.0625,1008.99,22.47,35.52
2423711,-8.1600,-1.2700,4.9600,-7.9674,-1.0725,5.3072,9.6331,0.1250,-0.1875,0.0625,1008.99,22.47,35.55
2423751,-8.1300,-1.3100,5.0000,-7.9374,-1.1125,5.3472,9.6350,0.0000,-0.0625,0.0000,1008.99,22.47,35.52
2423791,-8.1800,-1.2700,4.9300,-7.9874,-1.0725,5.2772,9.6332,-0.0625,0.5000,0.0625,1008.99,22.47,35.56
2423831,-8.3200,-1.3100,4.9600,-8.1274,-1.1125,5.3072,9.7703,-0.1250,0.0000,-0.0625,1008.99,22.47,35.54
2423871,-8.1900,-1.3100,4.9500,-7.9974,-1.1125,5.2972,9.6569,-0.0625,-0.6875,0.0000,1008.99,22.48,35.55
