57861,1.9500,-0.3800,9.5200,1.9797,-0.2286,9.8611,10.0605,-0.5000,0.4375,0.1250,998.64,16.60,122.38
57901,1.9000,-0.5400,9.6700,1.9297,-0.3886,10.0111,10.2028,-0.2500,0.1875,0.0000,998.64,16.60,122.33
57941,2.2400,-0.3200,9.5600,2.2697,-0.1686,9.9011,10.1593,0.3750,-0.3750,-0.0625,998.64,16.60,122.36
57981,2.1500,-0.3800,9.6100,2.1797,-0.2286,9.9511,10.1896,0.1250,-0.1250,-0.0625,998.64,16.60,122.37
58021,2.2500,-0.2000,9.4400,2.2797,-0.0486,9.7811,10.0434,-0.3125,0.5000,0.0000,998.64,16.60,122.38
58061,1.9200,-0.4000,9.4900,1.9497,-0.2486,9.8311,10.0257,0.0000,0.1875,-0.0625,998.63,16.60,122.41
58101,1.9700,-0.4700,9.5900,1.9997,-0.3186,9.9311,10.1354,-0.3125,0.4375,0.0625,998.63,16.60,122.41
58141,2.2800,-0.2200,9.4800,2.3097,-0.0686,9.8211,10.0893,0.1250,-0.0625,0.0000,998.64,16.60,122.38
58181,2.0500,-0.2600,9.4100,2.0797,-0.1086,9.7511,9.9710,0.5625,-0.4375,0.0000,998.64,16.60,122.34
58221,1.8400,-0.5100,9.6200,1.8697,-0.3586,9.9611,10.1414,0.0625,0.0000,-0.0625,998.64,16.60,122.37
58261,1.8800,-0.4800,9.5400,1.9097,-0.3286,9.8811,10.0693,-0.3750,0.3125,0.0000,998.64,16.60,122.38
58301,2.0300,-0.4500,9.6600,2.0597,-0.2986,10.0011,10.2154,0.0625,-0.0625,-0.0625,998.63,16.59,122.43
58341,2.2800,-0.1900,9.4900,2.3097,-0.0386,9.8311,10.0988,0.2500,-0.3750,0.0000,998.63,16.59,122.44
58381,1.9800,-0.3100,9.4500,2.0097,-0.1586,9.7911,9.9965,0.1250,-0.1875,0.1875,998.63,16.59,122.41
58421,1.8800,-0.5300,9.6100,1.9097,-0.3786,9.9511,10.1398,-0.3750,0.4375,0.1250,998.64,16.59,122.39
58461,2.1900,-0.3300,9.5800,2.2197,-0.1786,9.9211,10.1679,-0.1250,-0.0625,0.0000,998.63,16.59,122.41
58501,2.2100,-0.2100,9.4000,2.2397,-0.0586,9.7411,9.9954,0.4375,-0.5625,0.1250,998.63,16.59,122.40
58541,2.2800,-0.1700,9.4300,2.3097,-0.0186,9.7711,10.0404,0.1875,-0.1250,-0.0625,998.64,16.59,122.39
58582,1.9000,-0.3800,9.4700,1.9297,-0.2286,9.8111,10.0017,-0.5000,0.3750,0.0625,998.64,16.59,122.36
58622,1.9500,-0.5300,9.6600,1.9797,-0.3786,10.0011,10.2022,-0.1250,-0.0625,0.0625,998.64,16.59,122.39
58662,2.2600,-0.3000,9.5900,2.2897,-0.1486,9.9311,10.1927,0.4375,-0.4375,0.0000,998.63,16.59,122.44
58702,2.1400,-0.2500,9.4500,2.1697,-0.0986,9.7911,10.0291,0.1875,-0.0625,0.0000,998.63,16.59,122.44
