#logger=serial_logger_v1.3
#saved_at=2026-02-04T17:50:40.308365
#fs_hz=25
#fs_hz_inferred=1
#segment_id=3
#segment_start_ms=2522048
#device_mode_code=5
#device_mode_tag=bus
#storage_mode_tag=bus
#mode_mismatch=0
t_ms,ax_raw,ay_raw,az_raw,ax_corr,ay_corr,az_corr,acc_mag_corr,gx,gy,gz,pressure_hpa,temp_C,alt_m
2523588,-7.0100,-1.1100,6.1600,-6.8174,-0.9125,6.5072,9.4685,-1.0000,1.1875,-4.5625,994.11,8.61,160.61
2523628,-7.0500,-0.9800,6.3800,-6.8574,-0.7825,6.7272,9.6380,-2.8125,0.4375,-1.5000,994.08,8.61,160.80
2523668,-7.2000,-1.1100,6.1300,-7.0074,-0.9125,6.4772,9.5859,0.0625,2.9375,-1.1875,994.09,8.61,160.78
2523708,-7.2600,-0.9100,5.8500,-7.0674,-0.7125,6.1972,9.4266,0.0000,2.0625,-1.3750,994.09,8.61,160.77
2523749,-7.1100,-1.0700,6.0900,-6.9174,-0.8725,6.4372,9.4894,-1.1875,1.8125,-2.1875,994.08,8.62,160.85
2523789,-7.4000,-1.0000,6.1500,-7.2074,-0.8025,6.4972,9.7367,-0.0625,2.5625,-1.6875,994.08,8.62,160.82
2523829,-6.9500,-0.9500,6.1400,-6.7574,-0.7525,6.4872,9.3975,2.0625,1.9375,-0.9375,994.08,8.62,160.80
2523869,-7.4700,-0.8700,6.1600,-7.2774,-0.6725,6.5072,9.7855,-1.0625,3.0625,-0.7500,994.09,8.62,160.78
2523909,-7.7300,-0.9500,6.3800,-7.5374,-0.7525,6.7272,10.1308,0.0625,1.2500,-0.7500,994.10,8.61,160.71
2523949,-7.9100,-1.1100,6.8500,-7.7174,-0.9125,7.1972,10.5920,-3.4375,-0.2500,-0.6250,994.10,8.62,160.67
2523989,-7.4400,-0.9200,6.6100,-7.2474,-0.7225,6.9572,10.0722,2.0000,0.8125,1.0000,994.10,8.62,160.63
2524029,-7.3100,-0.9700,6.2900,-7.1174,-0.7725,6.6372,9.7625,1.3750,1.7500,0.4375,994.11,8.62,160.62
2524069,-6.9500,-1.1400,6.1400,-6.7574,-0.9425,6.4872,9.4146,2.1250,1.1875,-0.1250,994.10,8.62,160.70
2524109,-7.2900,-0.9900,5.9300,-7.0974,-0.7925,6.2772,9.5081,0.1875,2.6250,0.2500,994.10,8.62,160.71
2524149,-7.5100,-0.6900,6.1700,-7.3174,-0.4925,6.5172,9.8113,-2.3750,-0.9375,-0.8125,994.09,8.62,160.73
2524189,-6.8900,-0.9500,6.1000,-6.6974,-0.7525,6.4472,9.3267,0.4375,1.6250,-1.0625,994.08,8.62,160.81
2524229,-6.1800,-1.1400,5.2600,-5.9874,-0.9425,5.6072,8.2570,4.5625,5.5625,1.4375,994.08,8.62,160.87
2524269,-7.0600,-0.8700,5.3900,-6.8674,-0.6725,5.7372,8.9738,1.7500,1.5625,1.6875,994.08,8.62,160.81
2524308,-6.9100,-0.5500,5.9200,-6.7174,-0.3525,6.2672,9.1938,0.0625,-4.4375,2.8750,994.09,8.62,160.77
2524348,-7.7200,-1.0500,6.0700,-7.5274,-0.8525,6.4172,9.9282,0.1875,-1.6250,-0.1250,994.11,8.62,160.62
2524388,-7.7900,-1.0000,6.9500,-7.5974,-0.8025,7.2972,10.5647,0.5625,-4.6250,1.1250,994.10,8.62,160.67
2524428,-7.7400,-0.8800,6.8500,-7.5474,-0.6825,7.1972,10.4513,0.5625,-0.4375,1.8750,994.11,8.62,160.61
2524468,-8.2800,-1.1500,6.9400,-8.0874,-0.9525,7.2872,10.9278,0.3750,1.7500,0.2500,994.10,8.62,160.65
2524508,-8.4600,-1.2300,6.5600,-8.2674,-1.0325,6.9072,10.8224,-0.3125,2.8750,1.6875,994.10,8.62,160.66
2524548,-7.6900,-0.3700,6.9500,-7.4974,-0.1725,7.2972,10.4637,-2.5625,-2.0000,1.5000,994.08,8.62,160.80
2524588,-7.4700,-0.2200,5.8800,-7.2774,-0.0225,6.2272,9.5781,2.5625,0.9375,-1.0625,994.09,8.62,160.77
2524628,-7.1900,-0.6700,5.6900,-6.9974,-0.4725,6.0372,9.2539,3.6250,0.7500,-0.3125,994.08,8.62,160.83
2524668,-6.8500,-0.4800,6.0300,-6.6574,-0.2825,6.3772,9.2233,2.6875,-0.7500,0.1875,994.07,8.62,160.88
2524708,-6.3700,-0.6500,5.3500,-6.1774,-0.4525,5.6972,8.4156,2.3750,4.0000,-0.6250,994.09,8.62,160.78
2524749,-6.4900,-0.3800,5.5100,-6.2974,-0.1825,5.8572,8.6022,1.8750,-1.5625,1.8125,994.11,8.62,160.62
2524789,-6.2600,-0.4600,5.7200,-6.0674,-0.2625,6.0672,8.5845,-2.6250,-2.5625,0.3125,994.10,8.62,160.65
2524829,-6.9500,-0.6500,5.2100,-6.7574,-0.4525,5.5572,8.7607,3.4375,1.8750,-1.8125,994.11,8.62,160.61
2524869,-7.4400,-0.4300,6.0100,-7.2474,-0.2325,6.3572,9.6433,-1.1250,-1.6875,0.4375,994.11,8.63,160.57
2524909,-6.9600,-1.3900,5.7900,-6.7674,-1.1925,6.1372,9.2133,1.2500,2.3750,-0.6875,994.10,8.63,160.64
2524949,-7.5500,-1.1100,6.5100,-7.3574,-0.9125,6.8572,10.0988,-0.3125,-1.5625,-0.0625,994.09,8.63,160.74
2524989,-7.8200,-0.6800,6.5600,-7.6274,-0.4825,6.9072,10.3014,-3.0000,0.9375,0.0000,994.10,8.63,160.63
2525029,-7.4000,-1.0300,6.6300,-7.2074,-0.8325,6.9772,10.0658,0.6875,0.1875,-1.3125,994.08,8.63,160.86
2525069,-7.4400,-1.3800,6.4300,-7.2474,-1.1825,6.7772,9.9927,1.6250,3.8750,-1.3125,994.06,8.63,161.01
2525109,-8.2800,-0.7600,6.5500,-8.0874,-0.5625,6.8972,10.6440,-1.3750,0.1875,-1.3750,994.06,8.63,160.98
2525149,-7.5700,-1.0600,7.3400,-7.3774,-0.8625,7.6872,10.6894,1.8750,-2.7500,-1.5625,994.06,8.63,160.97
2525189,-7.1000,-0.7300,6.9100,-6.9074,-0.5325,7.2572,10.0331,0.6250,0.0625,-1.0000,994.05,8.63,161.08
2525229,-7.6700,-1.0900,6.6000,-7.4774,-0.8925,6.9472,10.2456,2.5625,0.4375,-2.1875,994.06,8.63,161.01
2525269,-6.6600,-0.5200,5.7000,-6.4674,-0.3225,6.0472,8.8600,0.7500,2.0000,-2.1875,994.07,8.63,160.94
2525308,-6.2100,-1.0100,5.5500,-6.0174,-0.8125,5.8972,8.4644,4.7500,0.1875,-2.8750,994.06,8.63,161.05
2525348,-6.6700,-1.2800,6.2200,-6.4774,-1.0825,6.5672,9.2874,-0.0625,-3.1875,-2.9375,994.06,8.63,161.01
2525388,-5.9000,-0.5500,6.0300,-5.7074,-0.3525,6.3772,8.5655,0.8750,-1.8750,-1.3750,994.06,8.63,160.97
2525428,-6.4000,-1.2400,5.7100,-6.2074,-1.0425,6.0572,8.7355,3.0000,1.7500,-1.6250,994.09,8.63,160.79
2525468,-6.7000,-1.2800,5.4600,-6.5074,-1.0825,5.8072,8.7887,1.2500,-0.1250,-0.6250,994.10,8.63,160.68
2525508,-6.8200,-1.4000,6.3500,-6.6274,-1.2025,6.6972,9.4985,0.6250,-2.0625,-1.1875,994.10,8.63,160.64
2525548,-6.8500,-1.3300,7.0600,-6.6574,-1.1325,7.4072,10.0235,-1.0000,-2.8125,-2.5625,994.09,8.63,160.73
